sqft,bedrooms,bathrooms,clean_type,clutter,fridge,oven,labor_hours,clock_hours,rate_check_hours,price,solo_label,solo_hours,solo_price
800,1,1,standard,low,no,no,1.12,0.56,1.07,50,SOLO STANDARD,1.12,50
800,1,1,standard,low,no,yes,1.74,0.87,3.17,80,SOLO STANDARD,1.74,80
800,1,1,standard,low,yes,no,0.81,0.4,2.77,35,SOLO STANDARD,0.81,35
800,1,1,standard,low,yes,yes,1.43,0.72,4.87,65,SOLO STANDARD,1.43,65
800,1,1,standard,medium,no,no,1.41,0.71,1.38,65,SOLO STANDARD,1.41,65
800,1,1,standard,medium,no,yes,2.04,1.02,3.48,90,SOLO STANDARD,2.04,90
800,1,1,standard,medium,yes,no,1.1,0.55,3.08,50,SOLO STANDARD,1.1,50
800,1,1,standard,medium,yes,yes,1.73,0.86,5.18,80,SOLO STANDARD,1.73,80
800,1,1,standard,high,no,no,2.13,1.07,3.43,95,SOLO STANDARD,2.13,95
800,1,1,standard,high,no,yes,2.76,1.38,5.53,125,SOLO STANDARD,2.76,125
800,1,1,standard,high,yes,no,1.82,0.91,5.13,80,SOLO STANDARD,1.82,80
800,1,1,standard,high,yes,yes,2.45,1.23,7.23,110,SOLO STANDARD,2.45,110
800,1,1,deep,low,no,no,2.91,1.45,2.15,130,SOLO DEEP,2.91,130
800,1,1,deep,low,no,yes,3.54,1.77,4.25,160,SOLO DEEP,3.54,160
800,1,1,deep,low,yes,no,2.6,1.3,3.85,115,SOLO DEEP,2.6,115
800,1,1,deep,low,yes,yes,3.23,1.61,5.95,145,SOLO DEEP,3.23,145
800,1,1,deep,medium,no,no,3.2,1.6,2.78,145,SOLO DEEP,3.2,145
800,1,1,deep,medium,no,yes,3.83,1.92,4.88,170,SOLO DEEP,3.83,170
800,1,1,deep,medium,yes,no,2.89,1.45,4.48,130,SOLO DEEP,2.89,130
800,1,1,deep,medium,yes,yes,3.52,1.76,6.58,160,SOLO DEEP,3.52,160
800,1,1,deep,high,no,no,3.93,1.96,6.89,175,SOLO DEEP,3.93,175
800,1,1,deep,high,no,yes,4.55,2.28,8.99,205,SOLO DEEP,4.55,205
800,1,1,deep,high,yes,no,3.61,1.81,8.59,165,SOLO DEEP,3.61,160
800,1,1,deep,high,yes,yes,4.24,2.12,10.69,190,SOLO DEEP,4.24,190
